away_name,away_abbr,home_name,home_abbr,week,win_perc_dif,first_downs_dif,fumbles_dif,interceptions_dif,net_pass_yards_dif,pass_attempts_dif,pass_completions_dif,pass_touchdowns_dif,pass_yards_dif,penalties_dif,points_dif,rush_attempts_dif,rush_touchdowns_dif,rush_yards_dif,time_of_possession_dif,times_sacked_dif,total_yards_dif,turnovers_dif,yards_from_penalties_dif,yards_lost_from_sacks_dif,fourth_down_perc_dif,third_down_perc_dif,result
Los Angeles Chargers,sdg,Kansas City Chiefs,kan,2,0.0,-15.0,-4.0,0.0,-81.0,-5.0,-4.0,-2.0,-81.0,2.0,-2.0,4.0,-1.0,-52.0,-130.0,0.0,-133.0,-1.0,-4.0,0.0,-1.0,-0.19642857142857145,0.0
New York Jets,nyj,Cleveland Browns,cle,2,-1.0,1.0,1.0,1.0,159.0,25.0,19.0,0.0,162.0,-3.0,0.0,-22.0,-1.0,-134.0,-356.0,2.0,25.0,2.0,10.0,3.0,0.25,-0.30158730158730157,1.0
Washington Commanders,was,Detroit Lions,det,2,1.0,3.0,0.0,1.0,100.0,4.0,6.0,2.0,98.0,-1.0,-16.0,0.0,-3.0,-96.0,307.0,0.0,4.0,2.0,-2.0,-2.0,,0.05714285714285705,0.0
Indianapolis Colts,clt,Jacksonville Jaguars,jax,2,,9.0,4.0,0.0,80.0,8.0,8.0,0.0,77.0,-6.0,-8.0,20.0,0.0,54.0,790.0,0.0,134.0,1.0,-1.0,-3.0,0.0,0.15000000000000002,0.0
Tampa Bay Buccaneers,tam,New Orleans Saints,nor,2,0.0,0.0,-1.0,1.0,-39.0,-7.0,-5.0,-1.0,-57.0,-3.0,-23.0,14.0,-1.0,1.0,386.0,-2.0,-38.0,0.0,-74.0,-18.0,,0.04945054945054944,1.0
Carolina Panthers,car,New York Giants,nyg,2,-1.0,-4.0,3.0,0.0,51.0,6.0,-1.0,-1.0,47.0,0.0,6.0,-13.0,1.0,-184.0,-440.0,-1.0,-133.0,-1.0,51.0,-4.0,,0.16363636363636364,0.0
New England Patriots,nwe,Pittsburgh Steelers,pit,2,-1.0,4.0,1.0,1.0,1.0,-8.0,0.0,0.0,19.0,-5.0,0.0,0.0,0.0,3.0,72.0,1.0,4.0,3.0,-44.0,18.0,,0.17777777777777776,1.0
Miami Dolphins,mia,Baltimore Ravens,rav,2,0.0,5.0,1.0,-1.0,31.0,3.0,6.0,-2.0,57.0,-1.0,-2.0,2.0,0.0,2.0,300.0,1.0,33.0,-1.0,-9.0,26.0,,0.04395604395604391,1.0
Atlanta Falcons,atl,Los Angeles Rams,ram,2,0.0,7.0,2.0,-3.0,24.0,-8.0,-9.0,-1.0,-25.0,4.0,-4.0,20.0,2.0,149.0,298.0,-7.0,173.0,-1.0,25.0,-49.0,,-0.07692307692307693,0.0
Seattle Seahawks,sea,San Francisco 49ers,sfo,2,1.0,2.0,1.0,-1.0,22.0,0.0,10.0,2.0,31.0,-7.0,-3.0,-18.0,-1.0,-100.0,-427.0,0.0,-78.0,-1.0,-22.0,9.0,0.0,0.07486631016042777,0.0
Cincinnati Bengals,cin,Dallas Cowboys,dal,2,0.0,20.0,2.0,3.0,126.0,11.0,12.0,2.0,140.0,-6.0,4.0,16.0,0.0,62.0,984.0,3.0,188.0,4.0,-46.0,14.0,-0.06666666666666671,0.3,0.0
Houston Texans,htx,Denver Broncos,den,2,,0.0,-1.0,0.0,-108.0,-5.0,-6.0,1.0,-100.0,-6.0,3.0,8.0,0.0,-26.0,-196.0,1.0,-134.0,-1.0,-66.0,8.0,,-0.2,0.0
Arizona Cardinals,crd,Las Vegas Raiders,rai,2,0.0,0.0,0.0,-3.0,-77.0,1.0,2.0,0.0,-90.0,2.0,20.0,9.0,1.0,39.0,-130.0,-3.0,-38.0,-3.0,38.0,-13.0,0.25,-0.20454545454545453,1.0
Chicago Bears,chi,Green Bay Packers,gnb,2,1.0,-6.0,-1.0,0.0,-122.0,-22.0,-18.0,2.0,-139.0,1.0,-13.0,19.0,0.0,-12.0,-125.0,-2.0,-134.0,-1.0,14.0,-17.0,,0.023809523809523836,0.0
Tennessee Titans,oti,Buffalo Bills,buf,2,-1.0,-4.0,0.0,-2.0,-26.0,2.0,-6.0,-1.0,-31.0,2.0,11.0,1.0,-1.0,-28.0,-8.0,-1.0,-54.0,-3.0,15.0,-5.0,,-0.6272727272727273,0.0
Minnesota Vikings,min,Philadelphia Eagles,phi,2,0.0,-8.0,0.0,0.0,30.0,0.0,5.0,2.0,34.0,-7.0,-28.0,-11.0,-4.0,-90.0,-11.0,0.0,-60.0,0.0,-41.0,4.0,0.33333333333333337,-0.28054298642533937,0.0
Pittsburgh Steelers,pit,Cleveland Browns,cle,3,0.06269592476489022,-11.739811912225704,0.5172413793103448,-0.06269592476489033,-7.11285266457682,5.347962382445139,0.9310344827586192,0.0,-7.231974921630098,-1.2037617554858935,-8.984326018808776,-15.96551724137931,-2.0344827586206895,-117.65830721003137,-532.8589341692789,0.9090909090909092,-124.7711598746082,0.3918495297805642,-12.658307210031346,-0.11912225705329149,,-0.1491582491582492,0.0
New Orleans Saints,nor,Carolina Panthers,car,3,0.5555555555555556,1.6799999999999997,-1.7866666666666666,0.7733333333333332,49.76444444444445,8.786666666666665,8.76888888888889,0.5555555555555556,58.93333333333334,1.764444444444445,0.41333333333333044,-1.3155555555555587,-0.5644444444444445,33.85333333333334,327.5155555555557,1.7688888888888892,83.61777777777775,1.3377777777777777,11.186666666666667,9.16888888888889,-1.0,0.03496503496503495,0.0
Houston Texans,htx,Chicago Bears,chi,3,-0.8125,4.083333333333332,1.1458333333333333,-1.0,105.02083333333334,21.458333333333336,13.854166666666668,-0.29166666666666674,107.5625,2.916666666666667,5.479166666666668,-10.458333333333332,-1.0,-36.1875,214.89583333333326,0.8125,68.83333333333331,-0.33333333333333337,29.125,2.541666666666668,0.3333333333333333,-0.0559056020162676,0.0
Kansas City Chiefs,kan,Indianapolis Colts,clt,3,1.0,0.47430830039525773,-1.940711462450593,-2.130434782608696,22.02371541501978,-2.604743083003953,2.679841897233203,2.383399209486166,5.830039525691689,-0.687747035573123,0.9209486166007927,-3.4150197628458514,-0.16205533596837945,-4.932806324110672,-51.99604743083023,-2.9683794466403164,17.090909090909065,-2.292490118577075,-9.561264822134383,-16.193675889328063,1.0,0.0845238095238095,0.0
Buffalo Bills,buf,Miami Dolphins,mia,3,0.0,0.5,0.7777777777777777,0.7777777777777777,-57.166666666666686,-9.5,-3.5,-0.38888888888888884,-70.27777777777777,-0.666666666666667,-12.833333333333334,4.388888888888889,0.8888888888888888,43.27777777777777,-142.27777777777783,-0.11111111111111116,-13.888888888888914,2.5555555555555554,1.0555555555555571,-13.11111111111111,-0.33333333333333337,0.30795698924731174,0.0
Detroit Lions,det,Minnesota Vikings,min,3,-0.2733333333333333,0.4733333333333327,0.2733333333333333,-0.06,-36.593333333333305,0.9866666666666646,-3.2266666666666666,1.2866666666666668,-29.706666666666678,0.30666666666666664,22.006666666666668,0.5933333333333337,1.32,71.26666666666667,-117.07333333333327,0.9533333333333334,34.67333333333329,-0.06,10.566666666666666,6.886666666666665,-0.717948717948718,0.14962121212121215,0.0
Baltimore Ravens,rav,New England Patriots,nwe,3,-0.05572755417956654,0.7678018575851375,0.052631578947368474,-0.5294117647058824,43.59442724458202,-3.1609907120743017,-1.882352941176471,2.0,35.06191950464395,-2.2229102167182666,9.628482972136222,-3.6191950464396285,0.003095975232198178,9.495356037151694,-265.1609907120742,-0.006191950464396245,53.08978328173379,-1.476780185758514,-19.758513931888547,-8.53250773993808,0.33333333333333337,-0.15663120713024192,1.0
Cincinnati Bengals,cin,New York Jets,nyj,3,-0.6521739130434783,6.275362318840582,-0.33333333333333326,2.3188405797101446,-50.492753623188406,-2.536231884057969,-0.4782608695652186,-1.2898550724637678,-27.1159420289855,-2.304347826086956,-5.913043478260871,12.043478260869566,0.0,28.811594202898547,659.2173913043478,4.318840579710145,-21.681159420289816,1.9855072463768118,-35.681159420289845,23.3768115942029,-0.4012158054711245,0.04541876097620062,1.0
Las Vegas Raiders,rai,Tennessee Titans,oti,3,0.0,2.4761904761904745,0.0952380952380949,0.6190476190476192,36.14285714285714,8.142857142857146,6.380952380952383,0.6666666666666667,52.0952380952381,-0.666666666666667,-0.8095238095238102,-8.76190476190476,-0.3333333333333333,-15.523809523809533,-85.23809523809541,1.8095238095238095,20.619047619047592,-0.1428571428571428,-18.761904761904766,15.952380952380953,-0.5,0.2123758594346829,0.0
Philadelphia Eagles,phi,Washington Commanders,was,3,0.6666666666666667,4.166666666666664,-0.9166666666666666,-1.25,-61.0,-12.416666666666668,-10.333333333333332,-3.25,-78.5,6.5,1.3333333333333321,15.250000000000004,3.166666666666667,124.58333333333334,-35.66666666666674,-2.5,63.583333333333314,-1.5833333333333335,28.58333333333333,-17.5,0.16666666666666663,0.05999999999999994,1.0
Jacksonville Jaguars,jax,Los Angeles Chargers,sdg,3,0.49210526315789477,1.5236842105263158,0.19210526315789472,-0.4921052631578947,-74.82894736842104,-11.589473684210525,-7.244736842105265,-1.35,-76.31578947368422,3.1842105263157894,-15.936842105263157,5.244736842105265,1.0,30.292105263157893,40.46315789473692,-0.9842105263157894,-44.53684210526319,-0.4921052631578947,19.481578947368423,-1.4868421052631575,-0.390006489292667,0.025979649274734784,1.0
Los Angeles Rams,ram,Arizona Cardinals,crd,3,-0.06666666666666671,-1.3333333333333321,-0.8,2.2666666666666666,2.5999999999999943,-3.066666666666663,1.5333333333333314,0.06666666666666665,16.866666666666646,-4.133333333333333,-5.933333333333334,-3.7333333333333307,-1.0666666666666667,-62.666666666666664,-24.933333333333167,2.8,-60.06666666666666,2.6,-37.06666666666667,14.266666666666666,-0.11038961038961037,0.25806451612903225,1.0
Atlanta Falcons,atl,Seattle Seahawks,sea,3,-0.125,8.244565217391305,1.402173913043478,-1.0543478260869565,20.070652173913032,-0.05978260869565233,-4.918478260869566,0.44565217391304346,11.641304347826093,-2.4184782608695654,2.766304347826086,19.548913043478258,1.3043478260869565,121.3913043478261,602.6141304347825,-0.9565217391304348,141.46195652173913,-0.40217391304347805,-56.41847826086956,-8.429347826086957,0.5,0.026666666666666616,1.0
Green Bay Packers,gnb,Tampa Bay Buccaneers,tam,3,-0.625,9.160714285714286,0.8928571428571429,0.48214285714285715,32.0,0.75,5.375,-0.25,57.10714285714286,-5.196428571428571,9.125,-4.928571428571427,1.0,62.07142857142857,103.53571428571422,2.482142857142857,94.07142857142856,0.625,-74.51785714285714,25.107142857142858,0.0,0.11494252873563221,1.0
San Francisco 49ers,sfo,Denver Broncos,den,3,-0.4833333333333334,-0.1999999999999993,1.6666666666666667,-0.18333333333333335,-57.349999999999994,-6.233333333333334,-2.8000000000000007,-0.65,-68.16666666666666,-4.683333333333334,4.466666666666667,10.63333333333333,1.35,39.21666666666667,146.19999999999982,-1.1833333333333336,-18.133333333333326,0.1333333333333333,-27.549999999999997,-10.816666666666668,-0.5354609929078015,0.1411860940695296,0.0
Dallas Cowboys,dal,New York Giants,nyg,3,-0.25,-1.0166666666666657,0.21666666666666667,-0.016666666666666663,55.349999999999994,3.216666666666665,-1.1666666666666679,-0.5166666666666666,46.55000000000001,-1.75,0.43333333333333357,-7.983333333333334,0.48333333333333334,-41.0,-461.5666666666666,-1.7833333333333332,14.350000000000023,0.4666666666666667,-5.466666666666669,-8.8,-0.375,-0.0442577030812325,1.0
Miami Dolphins,mia,Cincinnati Bengals,cin,4,0.6666666666666667,-5.611111111111111,-1.1777777777777776,-1.1777777777777776,22.74444444444447,-10.655555555555559,-4.766666666666669,0.38888888888888884,9.988888888888937,0.20000000000000018,2.4333333333333336,-10.899999999999999,0.8,-40.18888888888888,-588.9000000000001,-3.1111111111111107,-17.444444444444457,-1.9555555555555553,-0.47777777777777786,-12.755555555555556,0.6470588235294118,0.012349799732977285,0.0
Minnesota Vikings,min,New Orleans Saints,nor,4,0.5840336134453781,7.819327731092436,-1.2184873949579833,-1.3949579831932772,-12.37815126050424,0.4327731092436977,-0.4033613445378137,0.5840336134453781,-26.865546218487395,-4.8109243697479,-3.8571428571428577,4.701680672268907,0.5798319327731093,7.794117647058826,-77.04201680672281,-2.4411764705882355,-4.584033613445399,-2.033613445378151,-56.15546218487394,-14.487394957983192,0.5925925925925927,-0.07380119880119879,1.0
Cleveland Browns,cle,Atlanta Falcons,atl,4,0.5185185185185185,1.6074074074074076,-2.2444444444444445,-0.4074074074074074,-11.288888888888891,1.6000000000000014,2.325925925925926,0.6148148148148149,-11.155555555555566,0.022222222222222143,-3.7481481481481467,4.274074074074072,0.2592592592592593,24.792592592592598,231.65925925925922,0.022222222222222365,13.503703703703707,-1.962962962962963,1.9185185185185176,0.13333333333333464,0.17391304347826086,0.09720623225113201,0.0
Tennessee Titans,oti,Indianapolis Colts,clt,4,0.0714285714285714,-1.2777777777777786,-1.261904761904762,-0.5039682539682541,17.702380952380935,-9.797619047619051,-6.130952380952383,0.1428571428571428,-3.932539682539698,2.091269841269841,4.067460317460316,1.7142857142857153,1.007936507936508,2.0079365079365203,-78.36904761904748,-3.023809523809524,19.71031746031747,-0.5714285714285714,27.452380952380956,-21.634920634920636,0.026666666666666672,0.0601422475106686,1.0
Washington Commanders,was,Dallas Cowboys,dal,4,-0.5277777777777778,4.111111111111111,0.5833333333333334,0.7777777777777778,52.83333333333334,10.555555555555557,8.333333333333332,1.7222222222222223,74.94444444444446,-2.9444444444444446,12.166666666666668,-2.333333333333332,-0.02777777777777779,-19.66666666666667,328.25,3.4444444444444446,33.166666666666686,0.6111111111111112,-17.75,22.11111111111111,-0.3137254901960785,0.19213081246806335,0.0
Seattle Seahawks,sea,Detroit Lions,det,4,-0.3055555555555556,-3.25,0.5277777777777778,0.8888888888888888,-15.861111111111114,-1.9722222222222214,4.75,-1.6388888888888888,-10.388888888888886,3.583333333333333,-4.583333333333336,-11.166666666666664,-1.5277777777777777,-107.38888888888887,-272.58333333333326,0.5277777777777777,-123.25,1.5555555555555554,44.083333333333336,5.472222222222221,0.09157509157509158,0.07031250000000006,1.0
Los Angeles Chargers,sdg,Houston Texans,htx,4,0.12,1.7503448275862077,-1.7779310344827586,-0.08551724137931038,93.24275862068964,10.841379310344827,9.377931034482756,1.3475862068965518,86.96827586206894,-0.6965517241379304,7.921379310344829,-2.384827586206896,-0.4827586206896552,-21.398620689655175,93.47448275862075,-0.5144827586206895,71.84413793103448,-0.19034482758620674,-10.58896551724138,-6.274482758620691,0.15495416848537757,0.07410699405588583,1.0
Chicago Bears,chi,New York Giants,nyg,4,-0.03749999999999998,-2.966666666666667,0.5333333333333334,1.1541666666666666,-72.37083333333334,-14.537500000000001,-12.725,-0.3208333333333333,-71.35,-3.2,-1.0708333333333329,5.149999999999999,1.1541666666666666,51.28333333333333,-319.67916666666656,-0.125,-21.087499999999977,0.9041666666666666,-27.104166666666668,1.0208333333333321,-0.9375,0.07171543316121626,0.0
Jacksonville Jaguars,jax,Philadelphia Eagles,phi,4,-0.2692307692307693,-1.9534412955465612,-0.15182186234817813,0.2165991902834008,-28.248987854251027,2.2550607287449367,5.52834008097166,0.8036437246963561,-31.4736842105263,-2.5910931174089065,-13.732793522267205,-3.767206477732792,-1.4210526315789473,-44.19635627530364,297.1538461538462,-1.3036437246963564,-72.44534412955466,0.2165991902834008,-21.593117408906878,-3.224696356275304,-0.07291666666666674,-0.09998667199786743,0.0
New York Jets,nyj,Pittsburgh Steelers,pit,4,0.1529605263157895,3.9819078947368425,0.8601973684210527,0.549342105263158,103.44243421052633,16.310855263157897,9.202302631578949,1.5460526315789473,116.64967105263159,0.9539473684210522,4.65625,-2.75,-0.8421052631578947,-5.702302631578945,216.50328947368416,1.2861842105263157,97.74013157894734,1.1463815789473686,28.016447368421055,13.207236842105264,,0.09500012683595038,1.0
Buffalo Bills,buf,Baltimore Ravens,rav,4,-0.06666666666666665,7.644444444444442,1.6666666666666665,0.4,84.58518518518517,15.103703703703701,13.696296296296296,-0.7037037037037037,89.68148148148151,3.4444444444444446,-12.096296296296298,-0.051851851851854036,-0.1703703703703704,-22.696296296296296,428.51111111111095,0.6592592592592594,61.888888888888914,1.4962962962962962,28.770370370370372,5.096296296296296,0.3333333333333334,0.3265743650170202,1.0
Arizona Cardinals,crd,Carolina Panthers,car,4,-0.10833333333333334,7.633333333333333,-1.0416666666666667,-0.08333333333333331,78.50833333333333,20.8,16.25,0.06666666666666665,74.65833333333336,1.5250000000000004,10.825,-1.3333333333333357,0.2333333333333334,-10.758333333333326,341.45833333333326,-0.9416666666666669,67.75,-0.6333333333333333,9.216666666666669,-3.849999999999998,0.3015607580824973,0.0021480253240879765,1.0
New England Patriots,nwe,Green Bay Packers,gnb,4,-0.20062695924764884,-1.3855799373040725,-0.1630094043887147,0.9623824451410659,22.56739811912226,-1.677115987460816,-3.0188087774294665,-0.4357366771159874,12.144200626959247,0.4702194357366771,7.338557993730408,1.808777429467085,0.652037617554859,-7.125391849529777,-121.30094043887152,-1.2539184952978057,15.442006269592468,0.9278996865203764,0.04702194357366807,-10.42319749216301,0.3448275862068966,0.017896082412211467,0.0
Denver Broncos,den,Las Vegas Raiders,rai,4,0.875,-3.2333333333333343,-0.9166666666666667,-0.5083333333333333,-69.39166666666665,-8.924999999999997,-8.091666666666665,-1.25,-64.55833333333334,4.408333333333333,-15.083333333333332,11.791666666666668,0.25,45.91666666666667,200.11666666666656,1.125,-23.475000000000023,-0.5249999999999999,39.45,4.833333333333334,-0.06666666666666665,0.03805821269630161,0.0
Kansas City Chiefs,kan,Tampa Bay Buccaneers,tam,4,-0.19495798319327728,5.295798319327732,0.3647058823529412,0.253781512605042,60.544537815126034,1.468907563025212,3.248739495798322,1.1428571428571428,59.57478991596639,-1.8084033613445376,12.117647058823529,-6.1294117647058854,0.5428571428571428,11.294117647058826,-99.77647058823527,-0.6420168067226891,71.83865546218487,-0.2621848739495799,-35.60840336134454,-0.969747899159664,0.39375,0.07266700662927078,1.0
Los Angeles Rams,ram,San Francisco 49ers,sfo,4,0.13009404388714735,0.5078369905956102,-1.0909090909090908,1.5250783699059562,55.211598746081506,10.043887147335422,12.460815047021944,0.9702194357366771,75.74294670846396,-3.976489028213166,12.166144200626958,-17.35736677115987,-0.6065830721003135,-108.27429467084639,-332.4420062695924,2.446708463949844,-53.06269592476491,1.200626959247649,-30.99529780564263,20.531347962382444,0.2735562310030395,0.057010432821091195,0.0
Indianapolis Colts,clt,Denver Broncos,den,5,-0.30303030303030304,3.0074211502782937,2.059369202226345,0.8107606679035251,37.794063079777374,7.068645640074209,7.829313543599259,0.17439703153988884,48.37291280148426,-4.144712430426717,5.144712430426715,-2.8942486085343226,-0.2504638218923933,-36.35064935064935,46.82374768089062,0.7662337662337664,1.4434137291280535,1.3562152133580705,-25.773654916512065,10.578849721706867,-0.4933333333333334,0.09459286990555604,1.0
New York Giants,nyg,Green Bay Packers,gnb,5,0.29333333333333333,-2.0,-0.8266666666666667,-0.24,-103.97333333333333,-8.773333333333337,-7.026666666666664,-0.5733333333333333,-106.52000000000001,3.7066666666666666,-2.9866666666666646,8.546666666666663,0.12,40.33333333333334,-38.12000000000012,0.28000000000000025,-63.64000000000004,-0.72,24.560000000000002,-2.546666666666667,0.6517857142857143,-0.06685163776493258,1.0
Pittsburgh Steelers,pit,Buffalo Bills,buf,5,-0.39999999999999997,-8.255555555555556,-1.0444444444444443,-0.21111111111111114,-122.80000000000001,-10.111111111111114,-10.144444444444446,-1.9,-124.04444444444445,0.155555555555555,7.988888888888889,-0.87777777777778,0.411111111111111,-22.84444444444445,-408.02222222222235,-0.6888888888888891,-145.64444444444445,-1.0222222222222224,-3.1555555555555586,-1.2444444444444454,0.29166666666666663,-0.329059829059829,0.0
Los Angeles Chargers,sdg,Cleveland Browns,cle,5,-0.13704600484261498,-3.845520581113803,0.35399515738498794,0.13704600484261498,120.39031476997579,12.070217917675546,8.771912832929782,1.3375302663438258,116.3690072639225,-1.7094430992736074,3.698789346246972,-13.871186440677967,-1.1743341404358354,-118.24406779661015,-282.23050847457625,0.1002421307506054,2.146246973365578,0.3569007263922518,-5.204358353510898,-4.021307506053269,0.07583295642997134,-0.06216654285135409,1.0
Houston Texans,htx,Jacksonville Jaguars,jax,5,-0.5588235294117647,-3.18476621417798,0.4638009049773757,0.7895927601809956,-7.56938159879337,2.4087481146304626,0.15007541478129482,-0.5859728506787332,1.6093514328808283,0.8310708898944199,9.800904977375565,-6.9841628959276,-0.1493212669683257,-8.76696832579185,-164.36199095022607,1.18552036199095,-16.336349924585193,0.10482654600301666,11.96153846153846,9.178733031674208,-0.14002267573696148,-0.10122324874283711,1.0
Chicago Bears,chi,Minnesota Vikings,min,5,-0.2764423076923077,-9.04647435897436,1.4607371794871793,0.5657051282051282,-153.6650641025641,-21.120192307692307,-16.259615384615387,-0.8333333333333334,-149.7019230769231,0.8461538461538458,-4.607371794871796,11.122596153846153,-0.028044871794871806,80.22756410256412,-70.87820512820508,2.1081730769230766,-73.4375,0.9142628205128205,12.864583333333336,3.9631410256410255,-0.7380952380952381,0.055442355087229056,0.0
Seattle Seahawks,sea,New Orleans Saints,nor,5,0.2585812356979405,3.473684210526315,-1.5080091533180777,-0.37528604118993136,13.981693363844386,-2.8741418764302082,1.7116704805491985,0.12814645308924488,2.526315789473699,1.0915331807780326,10.919908466819223,2.7643020594965684,0.38215102974828374,34.02517162471395,38.48512585812364,-2.0617848970251718,48.006864988558334,-1.0228832951945082,-0.6590389016018179,-11.45537757437071,0.05982905982905984,0.24701591511936338,0.0
Detroit Lions,det,New England Patriots,nwe,5,-0.005157962604771138,3.330754352030951,-1.107672469374597,-0.7827208252740168,37.15538362346871,6.714377820760795,2.4667956157317867,2.1328175370728566,33.064474532559615,0.7498388136686005,10.541586073500962,-0.13410702772404903,0.3049645390070923,42.69310122501611,-81.85170857511275,-0.577691811734365,79.84848484848487,-1.5183752417794971,9.62217923920052,-4.090909090909092,0.29285357321339334,-0.03739925669186123,0.0
Miami Dolphins,mia,New York Jets,nyj,5,0.08807134894091417,-0.7363433667781472,-1.6599777034559642,0.06131549609810483,1.2703455964326054,-13.72519509476031,-5.259197324414718,-0.12430323299888535,-0.8589743589743648,-1.0089186176142695,-3.1298773690078043,-0.891304347826086,0.3422519509476031,-18.118729096989966,-60.32051282051293,-0.835005574136009,-16.848383500557418,-0.9899665551839467,-29.34838350055741,-2.1293199554069133,0.06000574217628485,-0.01439123790117175,0.0
Atlanta Falcons,atl,Tampa Bay Buccaneers,tam,5,-0.2978177150192554,5.711168164313223,0.7086007702182284,0.72400513478819,-41.206675224647,-10.835686777920408,-7.970474967907574,-0.7227214377406932,-38.92426187419767,-2.6136071887034653,11.842105263157896,8.883183568677794,1.504492939666239,110.37869062901154,30.67394094993574,-0.20154043645699615,69.17201540436457,0.5905006418485239,-44.58151476251604,2.2824133504492936,0.30000000000000004,0.057195436142804534,0.0
Tennessee Titans,oti,Washington Commanders,was,5,0.6027777777777779,-2.018518518518519,-0.3601851851851853,-0.8555555555555556,-56.59814814814814,-18.62222222222222,-9.433333333333334,-0.49444444444444424,-67.94629629629628,0.916666666666667,-7.298148148148147,3.133333333333333,0.6231481481481481,9.648148148148152,-291.2046296296296,-2.0629629629629624,-46.94999999999999,-0.9092592592592592,-7.8787037037036995,-11.348148148148148,-0.012121212121212116,-0.018867602945186746,1.0
San Francisco 49ers,sfo,Carolina Panthers,car,5,0.014492753623188415,4.624154589371981,-0.46763285024154566,0.11884057971014494,4.298550724637664,-0.9961352657004845,-0.6705314009661834,-0.5652173913043479,-9.676328502415458,2.1584541062801934,-6.071497584541062,13.906280193236718,0.5951690821256039,63.21159420289855,534.968115942029,-1.1729468599033819,67.5101449275362,0.2579710144927536,7.501449275362326,-13.97487922705314,-0.09857723577235772,0.15631203061370663,1.0
Philadelphia Eagles,phi,Arizona Cardinals,crd,5,0.55,3.0277777777777786,-1.0574074074074074,-0.1166666666666667,18.012962962962973,-13.033333333333335,-9.659259259259258,-0.4851851851851853,12.775925925925918,-0.594444444444445,-3.9851851851851876,13.040740740740741,1.9388888888888889,64.92592592592592,2.598148148148084,0.03888888888888875,82.93888888888893,-0.1166666666666667,-19.968518518518522,-5.237037037037036,0.005386479935362343,0.12152249134948101,1.0
