week,model_type,accuracy,roc_auc,correct,total_games
8,logistic,0.63,0.63,2,4
8,xgboost,0.59,0.62,2,4
9,logistic,0.68,0.66,2,2
9,xgboost,0.63,0.65,1,2
10,logistic,0.64,0.62,1,3
10,xgboost,0.69,0.69,0,3
11,logistic,0.65,0.62,6,8
11,xgboost,0.55,0.56,6,8
12,logistic,0.62,0.61,3,10
12,xgboost,0.68,0.61,4,10
13,logistic,0.62,0.62,2,3
13,xgboost,0.55,0.57,0,3
14,logistic,0.64,0.65,4,8
14,xgboost,0.54,0.56,4,8
15,logistic,0.64,0.64,5,7
15,xgboost,0.60,0.56,5,7
16,logistic,0.62,0.64,1,5
16,xgboost,0.62,0.60,2,5